Day,Treatment,Cottonwood,Other,Nothing,notes,terminated,Conditioning Time
9,C-Alder 1 ,I,II,0,,F,25
9,C-Alder 2 ,I,II,0,,F,25
9,C-Alder 3 ,III,,0,,F,25
9,C-Alder 4 ,II,I,0,,F,25
9,C-Dog 1 ,II,I,0,,F,25
9,C-Dog 2 ,III,,0,,F,25
9,C-Dog 3 ,I,II,0,,F,25
9,C-Dog 4,III,,0,,F,25
9,C-Choke 1 ,III,,0,,F,25
9,C-Choke 2 ,III,,0,,F,25
9,C-Choke 3 ,II,I,0,,F,25
9,C-Choke 4 ,II,I,0,,F,25
9,C-Willow 1 ,III,,0,,F,25
9,C-Willow 2 ,II,I,0,,F,25
9,C-Willow 3 ,III,,0,,F,25
9,C-Willow 4 ,III,,0,,T,25
10,C-Alder 1 ,,III,0,,F,25
10,C-Alder 2 ,III,,0,,F,25
10,C-Alder 3 ,I,II,0,,F,25
10,C-Alder 4 ,,III,0,,F,25
10,C-Dog 1 ,I,II,0,,F,25
10,C-Dog 2 ,III,,0,,F,25
10,C-Dog 3 ,I,II,0,,F,25
10,C-Dog 4,III,,0,,F,25
10,C-Choke 1 ,III,,0,,F,25
10,C-Choke 2 ,III,,0,,F,25
10,C-Choke 3 ,III,,0,,F,25
10,C-Choke 4 ,II,I,0,,F,25
10,C-Willow 1 ,III,,0,,F,25
10,C-Willow 2 ,III,,0,,F,25
10,C-Willow 3 ,III,,0,,F,25
10,C-Willow 4 ,III,,0,,T,25
