date,end date,initials,treatment,bucket,replicate,leaf type,mass initial,mass final,growth,leaf area initial,leaf area final,prop eaten,percent area eaten,survival,escape,image.file.name.initial,image.file.name.final
3.3.22,3.17.22,Zane,A,2,3,Control,0.3428,0.3438,0.001,111.751,50.9,0.544523092,54.45230915,1,,,
3.3.22,3.17.22,Zane,A,2,3,Cottonwood,0.3428,0.3438,0.001,144.008,107.02,0.256846842,25.68468418,1,,,
3.3.22,3.17.22,Zane,B,2,3,Cottonwood,0.591,0.581,-0.01,116,11.6,0.9,90,1,,,
3.3.22,3.17.22,Zane,B,2,3,Dogwood,0.591,0.581,-0.01,77.87,0,1,100,1,,,
3.3.22,3.17.22,Tim,A,1,4,Control,0.1008,0.1346,0.0338,122.79,93.703,0.236884111,23.68841111,,,,
3.3.22,3.17.22,Tim,A,1,4,Cottonwood,0.1008,0.1346,0.0338,97.701,64.077,0.344152056,34.41520558,,,,
3.3.22,3.17.22,Tim,B,3,4,Dogwood,0.467,0.4897,0.0227,83.039,0,1,100,,,,
3.3.22,3.17.22,Tim,B,3,4,Cottonwood,0.4647,0.4897,0.025,104.171,72.922,0.299977921,29.99779209,,,,
3.3.22,3.17.22,Sierra,A,3,5,Cottonwood,0.2091,0.2956,0.0865,137.713,99.688,0.276117723,27.61177231,1,,,
3.3.22,3.17.22,Sierra,A,3,5,Control,0.2091,0.2956,0.0865,173.437,73.612,0.575569227,57.55692269,1,,,
3.3.22,3.17.22,Sierra,C,3,3,Cottonwood,0.1885,0.1944,0.0059,60.695,37.406,0.383705412,38.37054123,1,,,
3.3.22,3.17.22,Sierra,C,3,3,Willow,0.1885,0.1944,0.0059,62.382,0,1,100,1,,,
3.3.22,3.17.22,Tim,C,2,4,Cottonwood,0.638,0.1346,-0.5034,34.049,28.979,0.148903051,14.89030515,,,,
3.3.22,3.17.22,Tim,C,2,4,Willow,0.638,0.1346,-0.5034,5.06,0,1,100,,,,
3.3.22,3.17.22,Tim,D,3,2,Willow,1.024,1.0351,0.0111,40.6,0,1,100,,,,
3.3.22,3.17.22,Tim,D,3,2,Dogwood,1.024,1.0351,0.0111,12.677,0,1,100,,,,
3.3.22,3.17.22,Tim,D,3,2,Cottonwood,1.024,1.0351,0.0111,46.072,0,1,100,,,,
3.3.22,3.17.22,MN/MW,B,3,5,Cottonwood,0.1295,0.1326,0.0031,72.306,,1,10,1,,,
3.3.22,3.17.22,MN/MW,B,3,5,Dogwood,0.1295,0.1326,0.0031,48.842,,1,70,1,,,
3.3.22,3.17.22,MN/MW,C,3,5,Cottonwood,0.0676,0.095,0.0274,100.801,,1,60,1,,,
3.3.22,3.17.22,MN/MW,C,3,5,Willow,0.0676,0.095,0.0274,17.545,,1,20,1,,,
3.3.22,3.17.22,MN/MW,D,2,3,Cottonwood,0.1914,0.2055,0.0141,108.422,,1,30,1,,,
3.3.22,3.17.22,MN/MW,D,2,3,Willow,0.1914,0.2055,0.0141,8.533,,1,100,1,,,
3.3.22,3.17.22,MN/MW,D,2,3,Dogwood,0.1914,0.2055,0.0141,89.895,,1,100,1,,,
3.3.22,3.17.22,Dylan,B,3,6,Cottonwood,0.6308,0.6329,0.0021,160.176,147.464,0.079362701,7.936270103,1,0,,
3.3.22,3.17.22,Dylan,B,3,6,Dogwood,0.6308,0.6329,0.0021,35.143,0,1,100,1,0,,
3.3.22,3.17.22,Dylan,C,2,6,Cottonwood,0.6808,0.691,0.0102,206.387,120.46,0.416339207,41.63392074,1,0,,
3.3.22,3.17.22,Dylan,C,2,6,Willow,0.6808,0.691,0.0102,62.415,0,1,100,1,0,,
3.3.22,3.17.22,Dylan,D,1,4,Cottonwood,1.0413,1.0524,0.0111,122.069,98.61,0.192178194,19.21781943,1,0,,
3.3.22,3.17.22,Dylan,D,1,4,Dogwood,1.0413,1.0524,0.0111,34.122,0,1,100,1,0,,
3.3.22,3.17.22,Dylan,D,1,4,Willow,1.0413,1.0524,0.0111,63.012,7.297,0.884196661,88.4196661,1,0,,
3.3.22,3.17.22,Caitlin,A,3,6,Cottonwood,0.2784,0.2837,0.0053,162.769,148.912,0.085132918,8.513291843,1,0,,
3.3.22,3.17.22,Caitlin,A,3,6,Control,0.2784,0.2837,0.0053,168.203,109.478,0.349131704,34.9131704,1,0,,
3.3.22,3.17.22,Caitlin,B,1,7,Cottonwood,0.0591,0.0558,-0.0033,108.643,106.508,0.019651519,1.96515192,1,0,,
3.3.22,3.17.22,Caitlin,B,1,7,Dogwood,0.0591,0.0558,-0.0033,76.519,11.1,0.854937989,85.49379893,1,0,,
3.3.22,3.17.22,Caitlin,C,2,7,Cottonwood,0.0464,0.07,0.0236,168.23,141.701,0.157694823,15.76948226,1,0,,
3.3.22,3.17.22,Caitlin,C,2,7,Willow,0.0464,0.07,0.0236,40.089,29.5,0.264137295,26.41372945,1,0,,
3.3.22,3.17.22,Caitlin,D,2,5,Cottonwood,0.0876,0.1309,0.0433,200.685,159.879,0.203333582,20.33335825,1,0,,
3.3.22,3.17.22,Caitlin,D,2,5,Willow,0.0876,0.1309,0.0433,47.7,0,1,100,1,0,,
3.3.22,3.17.22,Caitlin,D,2,5,Dogwood,0.0876,0.1309,0.0433,38.957,15.975,0.58993249,58.99324897,1,0,,
3.4.22,3.17.22,Shylar,A,2,7,Cottonwood,0.2283,0.2497,0.0214,106.77,,1,10,,,,
3.4.22,3.17.22,Shylar,A,2,7,Control,0.2283,0.2497,0.0214,59.389,,1,90,,,,
3.4.22,3.17.22,Shylar,B,1,8,Control,0.1736,0.1753,0.0017,96.224,,1,85,,,,
3.4.22,3.17.22,Shylar,B,1,8,Dogwood,0.1736,0.1753,0.0017,196.21,,1,100,,,,
3.4.22,3.17.22,Shylar,C,3,8,control,0.4668,0.3501,-0.1167,87.949,,1,100,,,,
3.4.22,3.17.22,Shylar,C,3,8,willow,0.4668,0.3501,-0.1167,55.885,,1,100,,,,
3.4.22,3.17.22,Shylar,D,3,6,control,0.367,,-0.367,64.222,,1,,,1,,
3.4.22,3.17.22,Shylar,D,3,6,willow,0.367,,-0.367,51.797,,1,,,1,,
3.4.22,3.17.22,Shylar,D,3,6,dogwood,0.367,,-0.367,26.172,,1,,,1,,
3.4.22,3.17.22,Isabel,A,1,8,Control,1.2883,1.2591,-0.0292,102.532,0,1,100,,,,
3.4.22,3.17.22,Isabel,A,1,8,Cottonwood,1.2883,1.2591,-0.0292,107.989,0,1,100,,,,
3.4.22,3.17.22,Isabel,B,3,9,Cottonwood,1.1732,1.1984,0.0252,172.861,0,1,100,,,,
3.4.22,3.17.22,Isabel,B,3,9,Dogwood,1.1732,1.1984,0.0252,97.224,0,1,100,,,,
3.4.22,3.17.22,Isabel,C,3,9,Cottonwood,0.1165,0.1157,-0.0008,138.96,153.406,-0.103957974,0,,,,
3.4.22,3.17.22,Isabel,C,3,9,Willow,0.1165,0.1157,-0.0008,28.9,0,1,100,,,,
3.4.22,3.17.22,Isabel,D,1,7,Cottonwood,0.07,0.0721,0.0021,127.463,108.436,0.149274691,14.92746915,,,,
3.4.22,3.17.22,Isabel,D,1,7,Willow ,0.07,0.0721,0.0021,40.557,12.347,0.695564268,69.55642676,,,,
3.4.22,3.17.22,Isabel,D,1,7,Dogwood,0.07,0.0721,0.0021,61.04,0,1,100,,,,
3.4.22,3.17.22,Brandon,A,2,9,Control,0.5065,0.5484,0.0419,141.114,126.728,0.101945944,10.19459444,,,,
3.4.22,3.17.22,Brandon,A,2,9,Cottonwood,0.5065,0.5484,0.0419,104.224,97.195,0.06744128,6.744128032,,,,
3.4.22,3.17.22,Brandon,B,2,10,Cottonwood,0.4054,0.4578,0.0524,176.64,116.797,0.3387851,33.87850996,,,,
3.4.22,3.17.22,Brandon,B,2,10,Dogwood,0.4054,0.4578,0.0524,76.813,0,1,100,,,,
3.4.22,3.17.22,Chris,A,1,10,Control,0.096,0.101,0.005,76.83,76.588,0.003149811,0.314981127,,,,
3.4.22,3.17.22,Chris,A,1,10,Cottonwood,0.096,0.101,0.005,99.182,86.868,0.124155593,12.41555927,,,,
3.4.22,3.17.22,Chris,B,3,11,Cottonwood,0.631,0.647,0.016,164.485,113.796,0.308167918,30.8167918,,,,
3.4.22,3.17.22,Chris,B,3,11,Dogwood,0.631,0.647,0.016,100.824,65.11,0.354221217,35.42212172,,,,
3.4.22,3.17.22,Chris,D,2,8,Cottonwood,0.257,0.2737,0.0167,139.056,99.773,0.282497699,28.24976988,,,,
3.4.22,3.17.22,Chris,D,2,8,Dogwood,0.257,0.2737,0.0167,97.041,0,1,100,,,,
3.4.22,3.17.22,Chris,D,2,8,Willow,0.257,0.2737,0.0167,44.243,0,1,100,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
